Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,8081.853999999999,96982.25,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,210,2520.00,USD,"Number of requests (HTTPS) (20000000 per month), Data transfer out to origin (1000 GB per month), Data transfer out to internet (2000 GB per month)"
My Estimate,US East (N. Virginia),,S3 Standard,0,123,1476.00,USD,S3 Standard storage (2000 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (1 TB per month), DT Outbound: Amazon CloudFront (1 TB per month)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,32.43,389.16,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,2489.884,29878.61,USD,"Tenancy (Dedicated Instances), Operating system (Linux), DT Inbound: Internet (1000 GB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 GB per month), Workload (Consistent, Number of instances: 4), Enable monitoring (disabled), Advance EC2 instance (t3.2xlarge), Pricing strategy (), Snapshot Frequency (No snapshot storage)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,3626.64,43519.68,USD,"Storage for each RDS instance (General Purpose SSD (gp3)), Storage amount (4000 GB), Quantity (1), Instance type (db.m5d.4xlarge), Utilization (On-Demand only) (24 Hours/Day), Deployment option (Multi-AZ (readable standbys)), Pricing strategy (OnDemand), Cost for one month of retention (per vCPU per month) (1.5000000000), Cost for each additional month of retention (per vCPU per month) (0.0631000000), Cost for total retention (per vCPU per month) (2.19), Additional backup storage (0 GB), General Purpose SSD (gp3) - IOPS (12000), General Purpose SSD (gp3) - Throughput (500 MiBps)"
My Estimate,US East (N. Virginia),,Amazon Elastic IP,0,0.2,2.40,USD,"Number of EC2 instances (2), Number of EIPs per instance (1), Number of EIP remaps (2)"
My Estimate,US East (N. Virginia),,VPN Connection,0,1444,17328.00,USD,"Working days per month (30), Number of Site-to-Site VPN Connections (0), Number of subnet associations (4)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,155.7,1868.40,USD,Number of NAT Gateways (2)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
